symbol,company_name,avg_turnover_cr,sector
SYMPHONY,Symphony Limited,6.46,
MANAKCOAT,Manaksia Coated Metals & Industries Limited,6.44,
WENDT,Wendt (India) Limited,6.38,
PREMIERPOL,Premier Polyfilm Limited,6.26,
MWL,Mangalam Worldwide Limited,6.25,
NITCO,Nitco Limited,6.25,
PENIND,Pennar Industries Limited,6.18,
ZEEMEDIA,Zee Media Corporation Limited,6.17,
KECL,Kirloskar Electric Company Limited,6.1,
SIGACHI,Sigachi Industries Limited,6.02,
MATRIMONY,Matrimony.Com Limited,5.96,
ULTRAMAR,Ultramarine & Pigments Limited,5.9,
SHANTIGEAR,Shanthi Gears Limited,5.88,
RITCO,Ritco Logistics Limited,5.81,
SERVOTECH,Servotech Renewable Power System Limited,5.76,
SMCGLOBAL,SMC Global Securities Limited,5.49,
UGROCAP,Ugro Capital Limited,5.48,
VSTTILLERS,V.S.T Tillers Tractors Limited,5.47,
UTKARSHBNK,Utkarsh Small Finance Bank Limited,5.43,
SDBL,Som Distilleries & Breweries Limited,5.4,
METROBRAND,Metro Brands Limited,5.26,
INDOSTAR,IndoStar Capital Finance Limited,5.22,
VSTIND,VST Industries Limited,5.2,
SASKEN,Sasken Technologies Limited,5.19,
SPANDANA,Spandana Sphoorty Financial Limited,5.19,
SEIL,Shanti Educational Initiatives Limited,5.17,
LINCOLN,Lincoln Pharmaceuticals Limited,5.12,
STEELCAS,Steelcast Limited,5.06,
MASFIN,MAS Financial Services Limited,4.99,
KAPSTON,Kapston Services Limited,4.77,
THOMASCOTT,Thomas Scott (India) Limited,4.7,
MAGADSUGAR,Magadh Sugar & Energy Limited,4.68,
MMP,MMP Industries Limited,4.66,
RPGLIFE,RPG Life Sciences Limited,4.63,
PROSTARM,Prostarm Info Systems Limited,4.61,
PDSL,PDS Limited,4.59,
ICICIB22,,4.55,
SRM,SRM Contractors Limited,4.54,
ROSSARI,Rossari Biotech Limited,4.45,
RANEHOLDIN,Rane Holdings Limited,4.37,
UGARSUGAR,The Ugar Sugar Works Limited,4.36,
SALSTEEL,S.A.L. Steel Limited,4.35,
KSL,Kalyani Steels Limited,4.27,
UNIECOM,Unicommerce Esolutions Limited,4.26,
TTKHLTCARE,TTK Healthcare Limited,4.24,
RMC,RMC Switchgears Limited,4.21,
REPCOHOME,Repco Home Finance Limited,4.2,
SIYSIL,Siyaram Silk Mills Limited,4.1,
TEAMLEASE,Teamlease Services Limited,4.1,
TAJGVK,Taj GVK Hotels & Resorts Limited,4.06,
WAAREEINDO,Indosolar Limited,4.01,
SHRIRAMPPS,Shriram Properties Limited,3.92,
SAURASHCEM,Saurashtra Cement Limited,3.84,
SIGMA,Sigma Solve Limited,3.82,
JTEKTINDIA,Jtekt India Limited,3.8,
SALZERELEC,Salzer Electronics Limited,3.79,
KIRLOSIND,Kirloskar Industries Limited,3.75,
WELSPLSOL,Welspun Specialty Solutions Limited,3.73,
KKCL,Kewal Kiran Clothing Limited,3.71,
MANBA,Manba Finance Limited,3.67,
KCP,KCP Limited,3.64,
TNPL,Tamil Nadu Newsprint & Papers Limited,3.64,
MAITHANALL,Maithan Alloys Limited,3.61,
MAMATA,Mamata Machinery Limited,3.57,
NIITMTS,NIIT Learning Systems Limited,3.55,
REGAAL,Regaal Resources Limited,3.55,
TCI,Transport Corporation of India Limited,3.52,
RELTD,Ravindra Energy Limited,3.45,
ROTO,Roto Pumps Limited,3.45,
KOVAI,Kovai Medical Center & Hospital Limited,3.42,
NAVNETEDUL,Navneet Education Limited,3.41,
NIITLTD,NIIT Limited,3.38,
TAALTECH,Taal Tech Limited,3.36,
PONNIERODE,Ponni Sugars (Erode) Limited,3.33,
SPMLINFRA,SPML Infra Limited,3.32,
