symbol,company_name,sector,source,note
ASTRAMICRO,Astra Microwave Products Limited,Capital Goods,nse_official,Capital Goods
ATALREAL,Atal Realtech Limited,Capital Goods,provider,Industrials
ATAM,Atam Valves Limited,Capital Goods,provider,Industrials
ATL,Allcargo Terminals Limited,Capital Goods,provider,Industrials
ATLANTAA,ATLANTAA LIMITED,Capital Goods,provider,Industrials
ATLANTAELE,Atlanta Electricals Limited,Capital Goods,nse_official,Capital Goods
AVALON,Avalon Technologies Limited,Capital Goods,nse_official,Capital Goods
AWHCL,Antony Waste Handling Cell Limited,Capital Goods,provider,Industrials
AXISCADES,AXISCADES Technologies Limited,Capital Goods,nse_official,Capital Goods
AZAD,Azad Engineering Limited,Capital Goods,nse_official,Capital Goods
BAJAJINDEF,Indef Manufacturing Limited,Capital Goods,provider,Industrials
BAJAJST,Bajaj Steel Industries Limited,Capital Goods,provider,Industrials
BALMLAWRIE,Balmer Lawrie & Company Limited,Capital Goods,provider,Industrials
BALUFORGE,Balu Forge Industries Limited,Capital Goods,nse_official,Capital Goods
BANKA,Banka BioLoo Limited,Capital Goods,provider,Industrials
BATLIBOI,Batliboi Limited,Capital Goods,provider,Industrials
BBL,Bharat Bijlee Limited,Capital Goods,provider,Industrials
BCPL,BCPL Railway Infrastructure Limited,Capital Goods,provider,Industrials
BDL,Bharat Dynamics Limited,Capital Goods,nse_official,Capital Goods
BEARDSELL,Beardsell Limited,Capital Goods,provider,Industrials
BEL,Bharat Electronics Limited,Capital Goods,nse_official,Capital Goods
BEML,BEML Limited,Capital Goods,nse_official,Capital Goods
BFUTILITIE,BF Utilities Limited,Capital Goods,provider,Industrials
BHEL,Bharat Heavy Electricals Limited,Capital Goods,nse_official,Capital Goods
BIGBLOC,Bigbloc Construction Limited,Capital Goods,provider,Industrials
BIRLANU,BirlaNu Limited,Capital Goods,provider,Industrials
BIRLAPREC,Birla Precision Technologies Limited,Capital Goods,provider,Industrials
BLIL,Balmer Lawrie Investments Limited,Capital Goods,provider,Industrials
BLKASHYAP,B. L. Kashyap and Sons Limited,Capital Goods,provider,Industrials
BLSE,BLS E-Services Limited,Capital Goods,provider,Industrials
BLUSPRING,Bluspring Enterprises Limited,Capital Goods,provider,Industrials
BOHRAIND,Bohra Industries Limited,Capital Goods,manual,
BORORENEW,BOROSIL RENEWABLES LIMITED,Capital Goods,nse_official,Capital Goods
BRNL,Bharat Road Network Limited,Capital Goods,provider,Industrials
CAPACITE,Capacit'e Infraprojects Limited,Capital Goods,provider,Industrials
