symbol,sector,company_name,owner_label,turnover_cr
SAKAR,Pharma,Sakar Healthcare Limited,Pharmaceuticals & Healthcare,10.91
TIRUMALCHM,Chemicals,Thirumalai Chemicals Limited,Chemicals,10.83
MANALIPETC,Energy,Manali Petrochemicals Limited,"Oil, Gas & Energy",10.49
SUMEETINDS,Capital Goods,Sumeet Industries Limited,Capital Goods & Industrial Manufacturing,10.39
ZOTA,Pharma,Zota Health Care LImited,Pharmaceuticals & Healthcare,10.31
PATELENG,Auto,Patel Engineering Limited,Automobile & Auto Components,10.3
SAKSOFT,IT,Saksoft Limited,Information Technology,10.3
WONDERLA,Consumer Services,Wonderla Holidays Limited,"Hotels, Travel & Leisure",10.25
POKARNA,Metal,Pokarna Limited,Metals & Mining,10.15
SURAKSHA,Pharma,Suraksha Diagnostic Limited,Pharmaceuticals & Healthcare,10.1
SUBEXLTD,IT,Subex Limited,Information Technology,10.02
PSPPROJECT,Infra,PSP Projects Limited,Construction & Infrastructure,10.0
MAYURUNIQ,Textiles,Mayur Uniquoters Ltd,Textiles,9.81
PVP,Finance,PVP Ventures Limited,Banking & Financial Services,9.77
MAHLOG,Services,Mahindra Logistics Limited,Logistics & Transportation,9.56
SYNCOMF,Pharma,Syncom Formulations (India) Limited,Pharmaceuticals & Healthcare,9.46
TALBROAUTO,Auto,Talbros Automotive Components Limited,Automobile & Auto Components,9.46
SPAL,Consumer Services,S. P. Apparels Limited,Retail & Consumer,9.29
MANCREDIT,Finance,Mangal Credit and Fincorp Limited,Banking & Financial Services,9.25
SEPC,Infra,SEPC Limited,Construction & Infrastructure,9.25
TINNARUBR,Chemicals,Tinna Rubber and Infrastructure Limited,Chemicals,8.88
SUPRAJIT,Auto,Suprajit Engineering Limited,Automobile & Auto Components,8.87
KROSS,Auto,Kross Limited,Automobile & Auto Components,8.86
SANOFI,Pharma,Sanofi India Limited,Pharmaceuticals & Healthcare,8.85
VINATIORGA,Chemicals,Vinati Organics Limited,Chemicals,8.8
RSYSTEMS,IT,R Systems International Limited,Information Technology,8.72
SUNFLAG,Metal,Sunflag Iron And Steel Company Limited,Metals & Mining,8.6
VSSL,Metal,Vardhman Special Steels Limited,Metals & Mining,8.51
RAJRATAN,Metal,Rajratan Global Wire Limited,Metals & Mining,8.48
WINDMACHIN,Energy,Windsor Machines Limited,"Oil, Gas & Energy",8.4
TVSHLTD,Auto,TVS Holdings Limited,Automobile & Auto Components,8.25
ORCHPHARMA,Pharma,Orchid Pharma Limited,Pharmaceuticals & Healthcare,7.87
RACLGEAR,Auto,RACL Geartech Limited,Automobile & Auto Components,7.87
PRAKASH,Capital Goods,Prakash Industries Limited,Capital Goods & Industrial Manufacturing,7.71
JUBLCPL,FMCG,Jubilant Agri and Consumer Products Limited,FMCG & Food,7.55
ONEPOINT,IT,One Point One Solutions Limited,Information Technology,7.47
UDS,Services,Updater Services Limited,Business Services,7.4
PRINCEPIPE,Capital Goods,Prince Pipes And Fittings Limited,Capital Goods & Industrial Manufacturing,7.31
KIRLFER,Capital Goods,Kirloskar Ferrous Industries Limited,Capital Goods & Industrial Manufacturing,7.19
TCIEXP,Services,TCI Express Limited,Logistics & Transportation,7.17
SAIPARENT,Pharma,Sai Parenterals Limited,Pharmaceuticals & Healthcare,7.14
JUNIPER,Consumer Services,Juniper Hotels Limited,"Hotels, Travel & Leisure",7.12
PANACEABIO,Pharma,Panacea Biotec Limited,Pharmaceuticals & Healthcare,7.01
RML,Auto,Rane (Madras) Limited,Automobile & Auto Components,7.01
VISHNU,Chemicals,Vishnu Chemicals Limited,Chemicals,6.94
PYRAMID,Forest Materials,Pyramid Technoplast Limited,Packaging & Paper,6.8
SOLARWORLD,IT,Solarworld Energy Solutions Limited,Information Technology,6.76
MAXESTATES,Infra,Max Estates Limited,Construction & Infrastructure,6.61
NPST,IT,Network People Services Technologies Limited,Information Technology,6.61
SYMPHONY,Consumer Durables,Symphony Limited,Consumer Durables & Appliances,6.46
MANAKCOAT,Metal,Manaksia Coated Metals & Industries Limited,Metals & Mining,6.44
WENDT,Capital Goods,Wendt (India) Limited,Capital Goods & Industrial Manufacturing,6.38
PREMIERPOL,Forest Materials,Premier Polyfilm Limited,Packaging & Paper,6.26
MWL,Metal,Mangalam Worldwide Limited,Metals & Mining,6.25
NITCO,Capital Goods,Nitco Limited,Capital Goods & Industrial Manufacturing,6.25
PENIND,Capital Goods,Pennar Industries Limited,Capital Goods & Industrial Manufacturing,6.18
ZEEMEDIA,Media,Zee Media Corporation Limited,Media & Entertainment,6.17
KECL,Energy,Kirloskar Electric Company Limited,"Oil, Gas & Energy",6.1
SIGACHI,Capital Goods,Sigachi Industries Limited,Capital Goods & Industrial Manufacturing,6.02
MATRIMONY,IT,Matrimony.Com Limited,Information Technology,5.96
ULTRAMAR,Chemicals,Ultramarine & Pigments Limited,Chemicals,5.9
SHANTIGEAR,Auto,Shanthi Gears Limited,Automobile & Auto Components,5.88
RITCO,Services,Ritco Logistics Limited,Logistics & Transportation,5.81
SERVOTECH,Energy,Servotech Renewable Power System Limited,"Oil, Gas & Energy",5.76
SMCGLOBAL,Finance,SMC Global Securities Limited,Banking & Financial Services,5.49
UGROCAP,Finance,Ugro Capital Limited,Banking & Financial Services,5.48
VSTTILLERS,Auto,V.S.T Tillers Tractors Limited,Automobile & Auto Components,5.47
UTKARSHBNK,Finance,Utkarsh Small Finance Bank Limited,Banking & Financial Services,5.43
SDBL,Auto,Som Distilleries & Breweries Limited,Automobile & Auto Components,5.4
METROBRAND,Consumer Services,Metro Brands Limited,Retail & Consumer,5.26
INDOSTAR,Finance,IndoStar Capital Finance Limited,Banking & Financial Services,5.22
VSTIND,Capital Goods,VST Industries Limited,Capital Goods & Industrial Manufacturing,5.2
SASKEN,IT,Sasken Technologies Limited,Information Technology,5.19
SPANDANA,Finance,Spandana Sphoorty Financial Limited,Banking & Financial Services,5.19
SEIL,Consumer Services,Shanti Educational Initiatives Limited,Education & Training,5.17
LINCOLN,Pharma,Lincoln Pharmaceuticals Limited,Pharmaceuticals & Healthcare,5.12
