trade_id,symbol,setup,direction,entry_price,sl,target,rr,smc_score,entry_time,exit_price,exit_time,exit_reason,gross_pnl_pts,net_pnl_pts,r_multiple,cost_pts
18,NSE:NIFTY 50,SETUP-A,LONG,25784.2,25665.34,26140.78,3.0,6,2026-02-03T11:10:00+05:30,25714.8,2026-02-03T15:25:00+05:30,EOD,-69.4,-146.73,-0.5839,77.33
19,NSE:NIFTY 50,SETUP-A,LONG,25762.25,25707.95,25925.14,3.0,6,2026-02-04T09:30:00+05:30,25707.95,2026-02-04T11:15:00+05:30,SL,-54.3,-131.6,-1.0,77.3
20,NSE:NIFTY 50,SETUP-C,SHORT,25682.3,25794.53,25457.84,2.0,6,2026-02-05T09:20:00+05:30,25641.6,2026-02-05T15:25:00+05:30,EOD,40.7,-36.41,0.3626,77.11
21,NSE:NIFTY 50,SETUP-A,SHORT,25526.3,25645.19,25169.62,3.0,5,2026-02-06T09:40:00+05:30,25645.19,2026-02-06T12:00:00+05:30,SL,-118.89,-195.85,-1.0,76.96
22,NSE:NIFTY 50,SETUP-A,LONG,25857.95,25810.27,26000.98,3.0,6,2026-02-09T11:10:00+05:30,25863.3,2026-02-09T15:25:00+05:30,EOD,5.35,-72.3,0.1122,77.65
23,NSE:NIFTY 50,SETUP-A,LONG,25949.5,25840.73,26275.81,3.0,7,2026-02-10T09:55:00+05:30,25916.8,2026-02-10T15:25:00+05:30,EOD,-32.7,-110.53,-0.3006,77.83
24,NSE:NIFTY 50,SETUP-A,LONG,25966.65,25908.87,26139.99,3.0,6,2026-02-11T11:00:00+05:30,25908.87,2026-02-11T12:40:00+05:30,SL,-57.78,-135.61,-1.0,77.83
25,NSE:NIFTY 50,SETUP-C,SHORT,25843.9,25959.09,25613.52,2.0,5,2026-02-12T09:20:00+05:30,25796.15,2026-02-12T15:25:00+05:30,EOD,47.75,-29.78,0.4145,77.53
26,NSE:NIFTY 50,SETUP-A,LONG,25562.65,25523.69,25679.53,3.0,7,2026-02-13T12:00:00+05:30,25523.69,2026-02-13T13:45:00+05:30,SL,-38.96,-115.76,-1.0,76.8
27,NSE:NIFTY 50,SETUP-A,LONG,25535.6,25452.48,25784.96,3.0,7,2026-02-16T12:00:00+05:30,25682.45,2026-02-16T15:25:00+05:30,EOD,146.85,69.82,1.7667,77.03
28,NSE:NIFTY 50,SETUP-C,SHORT,25705.65,25825.25,25466.44,2.0,8,2026-02-19T11:15:00+05:30,25466.44,2026-02-19T15:00:00+05:30,TP,239.21,162.35,2.0001,76.86
29,NSE:NIFTY 50,SETUP-A,LONG,25759.05,25547.73,26393.01,3.0,5,2026-02-23T09:25:00+05:30,25704.0,2026-02-23T15:25:00+05:30,EOD,-55.05,-132.34,-0.2605,77.29
30,NSE:NIFTY BANK,SETUP-A,LONG,60015.05,59935.96,60252.33,3.0,6,2026-01-02T11:10:00+05:30,60174.75,2026-01-02T15:25:00+05:30,EOD,159.7,-7.54,2.0192,167.24
31,NSE:NIFTY BANK,SETUP-A,SHORT,60126.85,60280.7,59665.29,3.0,6,2026-01-06T11:20:00+05:30,60095.8,2026-01-06T15:25:00+05:30,EOD,31.05,-136.18,0.2018,167.23
32,NSE:NIFTY BANK,SETUP-C,SHORT,60015.55,60144.55,59757.55,2.0,7,2026-01-07T11:35:00+05:30,59976.85,2026-01-07T15:25:00+05:30,EOD,38.7,-128.23,0.3,166.93
33,NSE:NIFTY BANK,SETUP-A,SHORT,59852.1,59982.64,59460.48,3.0,7,2026-01-08T11:00:00+05:30,59676.7,2026-01-08T15:25:00+05:30,EOD,175.4,9.12,1.3436,166.28
34,NSE:NIFTY BANK,SETUP-A,SHORT,59266.85,59456.98,58696.46,3.0,5,2026-01-09T12:35:00+05:30,59269.35,2026-01-09T15:25:00+05:30,EOD,-2.5,-167.53,-0.0131,165.03
35,NSE:NIFTY BANK,SETUP-A,SHORT,59108.1,59282.65,58584.45,3.0,6,2026-01-12T09:50:00+05:30,59282.65,2026-01-12T12:20:00+05:30,SL,-174.55,-339.45,-1.0,164.9
36,NSE:NIFTY BANK,SETUP-C,SHORT,59609.7,59787.31,59254.48,2.0,9,2026-01-13T11:50:00+05:30,59542.35,2026-01-13T15:25:00+05:30,EOD,67.35,-98.47,0.3792,165.82
