trade_id,symbol,setup,direction,entry_price,sl,target,rr,smc_score,entry_time,exit_price,exit_time,exit_reason,gross_pnl_pts,net_pnl_pts,r_multiple,cost_pts
26,NSE:NIFTY 50,SETUP-A,LONG,25464.65,25419.86,25599.01,3.0,6,2025-10-16T11:05:00+05:30,25599.01,2025-10-16T14:35:00+05:30,TP,134.36,57.53,2.9998,76.83
27,NSE:NIFTY 50,SETUP-A,LONG,25615.9,25520.83,25901.11,3.0,6,2025-10-17T09:35:00+05:30,25704.7,2025-10-17T15:25:00+05:30,EOD,88.8,11.65,0.934,77.15
28,NSE:NIFTY 50,SETUP-A,LONG,25877.1,25802.0,26102.41,3.0,5,2025-10-20T11:05:00+05:30,25802.0,2025-10-20T14:45:00+05:30,SL,-75.1,-152.67,-1.0,77.57
29,NSE:NIFTY 50,SETUP-B,LONG,25821.65,25795.25,25874.44,2.0,6,2025-10-24T12:00:00+05:30,25874.44,2025-10-24T12:25:00+05:30,TP,52.79,-24.84,1.9996,77.63
30,NSE:NIFTY 50,SETUP-C,LONG,25880.95,25748.02,26213.28,2.5,5,2025-10-27T09:20:00+05:30,25974.0,2025-10-27T15:25:00+05:30,EOD,93.05,15.2,0.7,77.85
31,NSE:NIFTY 50,SETUP-A,SHORT,25841.95,25898.82,25671.33,3.0,6,2025-10-28T11:00:00+05:30,25898.82,2025-10-28T11:50:00+05:30,SL,-56.87,-134.56,-1.0,77.69
32,NSE:NIFTY 50,SETUP-A,SHORT,25968.15,26020.03,25812.5,3.0,8,2025-10-29T09:45:00+05:30,26020.03,2025-10-29T10:25:00+05:30,SL,-51.88,-129.89,-1.0,78.01
33,NSE:NIFTY 50,SETUP-A,SHORT,25777.2,25832.51,25611.27,3.0,6,2025-10-31T11:10:00+05:30,25832.51,2025-10-31T12:10:00+05:30,SL,-55.31,-132.83,-1.0,77.52
34,NSE:NIFTY 50,SETUP-A,SHORT,25743.6,25772.25,25657.66,3.0,6,2025-11-03T09:50:00+05:30,25772.25,2025-11-03T10:40:00+05:30,SL,-28.65,-106.04,-1.0,77.39
35,NSE:NIFTY 50,SETUP-A,SHORT,25696.65,25727.34,25604.57,3.0,7,2025-11-04T11:00:00+05:30,25604.57,2025-11-04T14:20:00+05:30,TP,92.08,15.01,3.0003,77.07
36,NSE:NIFTY 50,SETUP-A,SHORT,25559.2,25633.86,25335.22,3.0,5,2025-11-06T11:05:00+05:30,25519.95,2025-11-06T15:25:00+05:30,EOD,39.25,-37.54,0.5257,76.79
37,NSE:NIFTY 50,SETUP-A,SHORT,25447.75,25526.05,25212.85,3.0,7,2025-11-07T11:35:00+05:30,25526.05,2025-11-07T13:25:00+05:30,SL,-78.3,-154.99,-1.0,76.69
38,NSE:NIFTY 50,SETUP-A,LONG,25854.6,25637.15,26506.95,3.0,6,2025-11-12T09:50:00+05:30,25874.0,2025-11-12T15:25:00+05:30,EOD,19.4,-58.26,0.0892,77.66
39,NSE:NIFTY 50,SETUP-B,SHORT,25842.3,25863.93,25799.03,2.0,5,2025-11-14T11:00:00+05:30,25863.93,2025-11-14T11:10:00+05:30,SL,-21.63,-99.26,-1.0,77.63
40,NSE:NIFTY 50,SETUP-A,SHORT,25895.8,25958.63,25707.3,3.0,7,2025-11-18T09:55:00+05:30,25958.63,2025-11-18T11:45:00+05:30,SL,-62.83,-140.67,-1.0,77.84
41,NSE:NIFTY 50,SETUP-A,SHORT,25886.0,25979.38,25605.88,3.0,7,2025-11-19T09:30:00+05:30,25979.38,2025-11-19T12:00:00+05:30,SL,-93.38,-171.24,-1.0,77.86
42,NSE:NIFTY 50,SETUP-A,LONG,26137.35,26097.81,26255.98,3.0,6,2025-11-20T11:20:00+05:30,26197.4,2025-11-20T15:25:00+05:30,EOD,60.05,-18.42,1.5187,78.47
43,NSE:NIFTY 50,SETUP-A,SHORT,25955.85,26047.75,25680.14,3.0,6,2025-11-25T09:20:00+05:30,25860.3,2025-11-25T15:25:00+05:30,EOD,95.55,17.81,1.0397,77.74
44,NSE:NIFTY 50,SETUP-A,LONG,26225.1,26154.85,26435.86,3.0,8,2025-11-28T09:40:00+05:30,26204.55,2025-11-28T15:25:00+05:30,EOD,-20.55,-99.12,-0.2925,78.57
45,NSE:NIFTY 50,SETUP-C,SHORT,26114.9,26221.23,25849.08,2.5,5,2025-12-02T09:30:00+05:30,26057.0,2025-12-02T15:25:00+05:30,EOD,57.9,-20.32,0.5445,78.22
46,NSE:NIFTY 50,SETUP-A,SHORT,25912.5,25960.31,25769.07,3.0,6,2025-12-03T11:05:00+05:30,25960.31,2025-12-03T12:10:00+05:30,SL,-47.81,-125.67,-1.0,77.86
47,NSE:NIFTY 50,SETUP-A,LONG,26137.25,26013.36,26508.92,3.0,5,2025-12-05T11:00:00+05:30,26176.65,2025-12-05T15:25:00+05:30,EOD,39.4,-39.03,0.318,78.43
48,NSE:NIFTY 50,SETUP-A,SHORT,25764.0,25989.79,25086.64,3.0,6,2025-12-09T09:35:00+05:30,25841.75,2025-12-09T15:25:00+05:30,EOD,-77.75,-155.27,-0.3443,77.52
49,NSE:NIFTY 50,SETUP-A,SHORT,25869.55,25935.89,25670.54,3.0,6,2025-12-10T11:15:00+05:30,25742.65,2025-12-10T15:25:00+05:30,EOD,126.9,49.43,1.9129,77.47
50,NSE:NIFTY 50,SETUP-A,SHORT,25727.75,25807.96,25487.12,3.0,6,2025-12-11T09:50:00+05:30,25807.96,2025-12-11T10:15:00+05:30,SL,-80.21,-157.64,-1.0,77.43
51,NSE:NIFTY 50,SETUP-A,LONG,26033.4,25984.73,26179.42,3.0,6,2025-12-12T09:35:00+05:30,25984.73,2025-12-12T10:05:00+05:30,SL,-48.67,-126.69,-1.0,78.02
52,NSE:NIFTY 50,SETUP-A,LONG,25987.85,25951.07,26098.18,3.0,6,2025-12-15T11:00:00+05:30,26014.0,2025-12-15T15:25:00+05:30,EOD,26.15,-51.87,0.711,78.02
53,NSE:NIFTY 50,SETUP-A,LONG,25936.4,25910.66,26013.63,3.0,6,2025-12-16T09:45:00+05:30,25910.66,2025-12-16T09:55:00+05:30,SL,-25.74,-103.54,-1.0,77.8
54,NSE:NIFTY 50,SETUP-A,LONG,25859.75,25820.03,25978.92,3.0,6,2025-12-18T11:35:00+05:30,25820.03,2025-12-18T14:05:00+05:30,SL,-39.72,-117.3,-1.0,77.58
55,NSE:NIFTY 50,SETUP-A,LONG,25959.65,25927.42,26056.35,3.0,6,2025-12-19T12:35:00+05:30,25927.42,2025-12-19T13:10:00+05:30,SL,-32.23,-110.08,-1.0,77.85
56,NSE:NIFTY 50,SETUP-A,LONG,26125.55,25954.3,26639.29,3.0,6,2025-12-22T09:25:00+05:30,26162.75,2025-12-22T15:25:00+05:30,EOD,37.2,-41.2,0.2172,78.4
57,NSE:NIFTY 50,SETUP-A,LONG,26187.65,26120.99,26387.63,3.0,5,2025-12-23T11:05:00+05:30,26165.95,2025-12-23T15:25:00+05:30,EOD,-21.7,-100.17,-0.3255,78.47
58,NSE:NIFTY 50,SETUP-A,LONG,26217.1,26161.95,26382.56,3.0,6,2025-12-24T09:25:00+05:30,26161.95,2025-12-24T13:30:00+05:30,SL,-55.15,-133.64,-1.0,78.49
59,NSE:NIFTY 50,SETUP-A,SHORT,26051.5,26134.99,25801.03,3.0,6,2025-12-26T11:45:00+05:30,26047.65,2025-12-26T15:25:00+05:30,EOD,3.85,-74.29,0.0461,78.14
60,NSE:NIFTY 50,SETUP-A,SHORT,25983.7,26010.81,25902.36,3.0,6,2025-12-29T11:10:00+05:30,25949.8,2025-12-29T15:25:00+05:30,EOD,33.9,-44.01,1.2505,77.91
61,NSE:NIFTY 50,SETUP-A,SHORT,25884.55,25956.51,25668.67,3.0,6,2025-12-30T09:25:00+05:30,25956.51,2025-12-30T10:15:00+05:30,SL,-71.96,-149.78,-1.0,77.82
62,NSE:NIFTY 50,SETUP-A,LONG,26006.9,25969.52,26119.04,3.0,6,2025-12-31T09:35:00+05:30,25969.52,2025-12-31T09:45:00+05:30,SL,-37.38,-115.35,-1.0,77.97
63,NSE:NIFTY 50,SETUP-A,LONG,26170.5,26126.97,26301.08,3.0,5,2026-01-01T11:10:00+05:30,26169.95,2026-01-01T11:20:00+05:30,EOD,-0.55,-79.01,-0.0126,78.46
64,NSE:NIFTY BANK,SETUP-A,SHORT,53694.95,53869.64,53170.87,3.0,7,2025-09-03T09:30:00+05:30,53869.64,2025-09-03T14:05:00+05:30,SL,-174.69,-325.43,-1.0,150.74
65,NSE:NIFTY BANK,SETUP-C,SHORT,54246.75,54515.65,53574.5,2.5,6,2025-09-09T09:20:00+05:30,54228.2,2025-09-09T15:25:00+05:30,EOD,18.55,-133.32,0.069,151.87
66,NSE:NIFTY BANK,SETUP-A,LONG,54708.55,54594.63,55050.31,3.0,5,2025-09-11T12:20:00+05:30,54644.6,2025-09-11T15:25:00+05:30,EOD,-63.95,-216.95,-0.5614,153.0
67,NSE:NIFTY BANK,SETUP-A,LONG,54695.2,54588.92,55014.05,3.0,6,2025-09-12T09:55:00+05:30,54784.55,2025-09-12T15:25:00+05:30,EOD,89.35,-63.87,0.8407,153.22
68,NSE:NIFTY BANK,SETUP-A,LONG,55276.2,55092.67,55826.8,3.0,7,2025-09-17T09:20:00+05:30,55480.85,2025-09-17T15:25:00+05:30,EOD,204.65,49.73,1.1151,154.92
