trade_id,symbol,timeframe,direction,entry_price,sl_price,target_price,result,pnl_r,setup_type,session,notes,date,chart_image
T0013,NSE:NIFTY BANK,5minute,LONG,59842.35,59756.12,60014.8,WIN,2.0,OB_CONTINUATION,LONDON_OVERLAP,UNIVERSAL-LONG,2026-01-07,
T0014,NSE:NIFTY BANK,5minute,LONG,59959.55,59810.85,60256.95,LOSS,-1.0,OB_CONTINUATION,INDIA_MID,UNIVERSAL-LONG,2026-01-08,
T0015,NSE:NIFTY BANK,5minute,LONG,59970.2,59786.3,60338.0,LOSS,-1.0,OB_CONTINUATION,INDIA_MID,UNIVERSAL-LONG,2026-01-08,
T0016,NSE:NIFTY BANK,5minute,SHORT,59961.95,60183.47,59518.9,WIN,2.0,OB_CONTINUATION,KILLZONE_AM,UNIVERSAL-SHORT,2026-01-09,
T0017,NSE:NIFTY BANK,5minute,LONG,59537.1,59376.6,59858.1,LOSS,-1.0,OB_CONTINUATION,INDIA_MID,UNIVERSAL-LONG,2026-01-09,
T0018,NSE:NIFTY BANK,5minute,LONG,59301.75,59205.6,59494.05,LOSS,-1.0,OB_CONTINUATION,LONDON_OVERLAP,UNIVERSAL-LONG,2026-01-09,
T0019,NSE:NIFTY 50,5minute,SHORT,25588.3,25706.22,25352.46,LOSS,-1.0,OB_BOS,INDIA_MID,SETUP-D,2026-01-12,
T0020,NSE:NIFTY BANK,5minute,LONG,59269.35,59132.7,59542.65,LOSS,-1.0,OB_CONTINUATION,KILLZONE_AM,UNIVERSAL-LONG,2026-01-12,
T0021,NSE:NIFTY BANK,5minute,SHORT,59373.6,59543.38,59034.05,WIN,2.0,OB_CONTINUATION,KILLZONE_AM,UNIVERSAL-SHORT,2026-01-12,
T0022,NSE:NIFTY BANK,5minute,LONG,59110.05,58960.0,59410.15,LOSS,-1.0,OB_CONTINUATION,INDIA_MID,UNIVERSAL-LONG,2026-01-12,
T0023,NSE:NIFTY BANK,5minute,SHORT,59102.3,59299.45,58708.0,LOSS,-1.0,OB_CONTINUATION,INDIA_MID,UNIVERSAL-SHORT,2026-01-12,
T0024,NSE:NIFTY BANK,5minute,SHORT,59398.0,59534.05,59125.9,LOSS,-1.0,OB_CONTINUATION,LONDON_OVERLAP,UNIVERSAL-SHORT,2026-01-12,
T0025,NSE:NIFTY BANK,5minute,SHORT,59425.35,59475.95,59324.15,LOSS,-1.0,OB_BOS,INDIA_MID,SETUP-D,2026-01-13,
T0026,NSE:NIFTY BANK,5minute,SHORT,59541.85,59730.75,59164.05,LOSS,-1.0,OB_CONTINUATION,INDIA_MID,UNIVERSAL-SHORT,2026-01-14,
